🔗 github pages mirror,,,,,,,,
,,,,,,,,
,,"tracking sheet 2025
i put everything in here that seems major to me",,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,didn't track the start dates for each one piece arc,,,,,
,,,"""→"" = same date",,,,,
,,title,start date,finish date,playtime (h),,type,days spent
,,Black Bullet,25-Oct-2025,26-Oct-2025,,,Anime,2 days
,,Touhou 8: Imperishable Night (Final A 1cc - Normal),19-Jan-2025,27-Oct-2025,,,Game,282 days
major,,CAUGHT UP WITH ONE PIECE (MANGA),2-Sep-2025,30-Oct-2025,,,Manga,59 days
,,The Melancholy of Haruhi Suzumiya (Rewatch) (Chronological Order),6-Sep-2025,30-Oct-2025,,,Anime,55 days
,,Touhou 8: Imperishable Night (Final B 1cc - Normal),27-Oct-2025,2-Nov-2025,,,Game,7 days
,,Another (+ OVA),31-Oct-2025,5-Nov-2025,,,Anime,6 days
,,The Disappearance of Haruhi Suzumiya (Rewatch),→,8-Nov-2025,,,Anime (Film),same day
,,City The Animation,7-Jul-2025,10-Nov-2025,,,Anime,127 days
,,Nisekoi 2nd Season (+ OVA),6-Nov-2025,12-Nov-2025,,,Anime,7 days
,,Akira,→,13-Nov-2025,,,Anime (Film),same day
,,The Godfather,→,18-Nov-2025,,,Film,same day
,,The Disappearance of Nagato Yuki-chan (+ OVA),13-Nov-2025,19-Nov-2025,,,Anime,7 days
,,Lucky☆Star (+ OVA),19-Nov-2025,26-Nov-2025,,,Anime,8 days
,,The Melancholy of Haruhi Suzumiya (Rewatch) (Chronological Order),27-Nov-2025,1-Dec-2025,,,Anime,5 days
,,Yakuza (PS2),24-Nov-2025,5-Dec-2025,~12h,,Game,12 days
,,Full Metal Panic!,2-Dec-2025,7-Dec-2025,,,Anime,6 days
,,Chainsaw Man (Rewatch),→,9-Dec-2025,,,Anime,same day
,,Chainsaw Man – The Movie: Reze Arc,→,10-Dec-2025,,,Anime (Film),same day
,,Metroid Dread,6-Dec-2025,10-Dec-2025,~15h,,Game,5 days
,,Chainsaw Man – The Movie: Reze Arc (Rewatch),→,11-Dec-2025,,,Anime (Film),same day
,,Chainsaw Man – The Movie: Reze Arc (Rewatch),→,12-Dec-2025,,,Anime (Film),same day
,,My Hero Academia Final Season,5-Oct-2025,14-Dec-2025,,,Anime,71 days
,,Vinland Saga (Manga),14-Nov-2025,14-Dec-2025,,,Manga,31 days
,,The Melancholy of Haruhi-chan Suzumiya (ONA),2-Dec-2025,15-Dec-2025,,,Anime,14 days
,,South Park - Season 28,16-Oct-2025,16-Dec-2025,,,Other,62 days
,,"Monogatari Series: Second Season 
& Hanamonogatari (Rewatch)",9-Nov-2025,17-Dec-2025,,,Anime,39 days
,,"Re:ZERO -Starting Life in Another World- (""Rewatch"")",18-Dec-2025,22-Dec-2025,,,Anime,5 days
,,Pluribus,7-Nov-2025,24-Dec-2025,,,TV Show,48 days
,,Umineko no Naku Koro ni (Question Arcs),15-Aug-2025,25-Dec-2025,~113h,,Visual Novel,133 days
,,A Silent Voice (Rewatch),→,26-Dec-2025,,,Anime (Film),same day
,,Re:ZERO -Starting Life in Another World- Memory Snow,→,27-Dec-2025,,,Anime (Film),same day
,,Spy x Family Season 3,7-Oct-2025,28-Dec-2025,,,Anime,83 days
,,"Re:ZERO -Starting Life in Another World- 
The Frozen Bond",→,29-Dec-2025,,,Anime (Film),same day
,,One Piece (Anime) - Egghead Arc,26-Mar-2025,29-Dec-2025,,,Anime,279 days
,,Full Metal Panic? Fumoffu,11-Dec-2025,30-Dec-2025,,,Anime,20 days
,,Smiling Friends - Season 3,7-Oct-2025,31-Dec-2025,,,Other,86 days
,,One Piece Fan Letter (Rewatch),→,31-Dec-2025,,,Anime,same day
